datetime,zone,load_mw,vre_mw,available_mw,margin_mw,lolp,ens_mwh,date,hour
2026-01-01 00:00:00,BE,4004.8,454.6,6144.6,2139.8,0.0,0.0,2026-01-01,0
2026-01-01 01:00:00,BE,3999.5,675.9,6306.9,2307.4,0.0,0.0,2026-01-01,1
2026-01-01 02:00:00,BE,3622.4,703.3,6451.3,2828.9,0.0,0.0,2026-01-01,2
2026-01-01 03:00:00,BE,3913.9,386.5,6106.5,2192.6,0.0,0.0,2026-01-01,3
2026-01-01 04:00:00,BE,3743.6,228.0,5930.0,2186.4,0.0,0.0,2026-01-01,4
2026-01-01 05:00:00,BE,3582.0,394.2,6076.2,2494.2,0.0,0.0,2026-01-01,5
2026-01-01 06:00:00,BE,3562.6,479.3,6052.3,2489.7,0.0,0.0,2026-01-01,6
2026-01-01 07:00:00,BE,3653.5,729.9,6364.9,2711.4,0.0,0.0,2026-01-01,7
2026-01-01 08:00:00,BE,3634.9,780.8,6458.8,2823.9,0.0,0.0,2026-01-01,8
2026-01-01 09:00:00,BE,3719.3,720.5,6357.5,2638.2,0.0,0.0,2026-01-01,9
2026-01-01 10:00:00,BE,3936.4,561.3,6303.3,2366.9,0.0,0.0,2026-01-01,10
2026-01-01 11:00:00,BE,4032.3,864.5,6447.5,2415.2,0.02,5.36,2026-01-01,11
2026-01-01 12:00:00,BE,4092.3,737.2,6413.2,2320.9,0.0,0.0,2026-01-01,12
2026-01-01 13:00:00,BE,4219.1,613.0,6291.0,2071.9,0.0,0.0,2026-01-01,13
2026-01-01 14:00:00,BE,4369.3,553.0,6240.0,1870.7,0.0,0.0,2026-01-01,14
2026-01-01 15:00:00,BE,4379.8,480.0,6099.0,1719.2,0.0,0.0,2026-01-01,15
2026-01-01 16:00:00,BE,4484.5,764.7,6457.7,1973.2,0.0,0.0,2026-01-01,16
2026-01-01 17:00:00,BE,4648.7,649.0,6319.0,1670.3,0.0,0.0,2026-01-01,17
2026-01-01 18:00:00,BE,4584.3,98.1,5702.1,1117.8,0.0,0.0,2026-01-01,18
2026-01-01 19:00:00,BE,4417.9,373.8,5972.8,1554.9,0.02,4.88,2026-01-01,19
2026-01-01 20:00:00,BE,4475.6,797.0,6395.0,1919.4,0.0,0.0,2026-01-01,20
2026-01-01 21:00:00,BE,4532.2,369.2,5973.2,1441.0,0.0,0.0,2026-01-01,21
2026-01-01 22:00:00,BE,4322.0,441.6,6070.6,1748.6,0.02,10.61,2026-01-01,22
2026-01-01 23:00:00,BE,4211.4,218.2,5852.2,1640.8,0.0,0.0,2026-01-01,23
2026-01-02 00:00:00,BE,4176.9,360.7,6005.7,1828.8,0.0,0.0,2026-01-02,0
2026-01-02 01:00:00,BE,4189.4,665.0,6251.0,2061.6,0.0,0.0,2026-01-02,1
2026-01-02 02:00:00,BE,3764.3,490.9,6115.9,2351.6,0.0,0.0,2026-01-02,2
2026-01-02 03:00:00,BE,3908.1,444.8,6155.8,2247.7,0.0,0.0,2026-01-02,3
2026-01-02 04:00:00,BE,3519.2,287.0,5905.0,2385.8,0.0,0.0,2026-01-02,4
2026-01-02 05:00:00,BE,3637.8,777.4,6426.4,2788.6,0.0,0.0,2026-01-02,5
2026-01-02 06:00:00,BE,3459.4,266.9,5940.9,2481.5,0.0,0.0,2026-01-02,6
2026-01-02 07:00:00,BE,3779.0,554.6,6100.6,2321.6,0.0,0.0,2026-01-02,7
2026-01-02 08:00:00,BE,3766.8,851.6,6512.6,2745.8,0.0,0.0,2026-01-02,8
2026-01-02 09:00:00,BE,3882.7,474.6,6086.6,2203.9,0.0,0.0,2026-01-02,9
2026-01-02 10:00:00,BE,3743.5,773.7,6391.7,2648.2,0.0,0.0,2026-01-02,10
2026-01-02 11:00:00,BE,4052.5,923.4,6520.4,2467.9,0.0,0.0,2026-01-02,11
2026-01-02 12:00:00,BE,4037.4,1180.4,6721.4,2684.0,0.0,0.0,2026-01-02,12
2026-01-02 13:00:00,BE,4174.2,625.6,6288.6,2114.4,0.0,0.0,2026-01-02,13
2026-01-02 14:00:00,BE,4410.5,632.8,6273.8,1863.3,0.0,0.0,2026-01-02,14
2026-01-02 15:00:00,BE,4558.4,858.7,6440.7,1882.3,0.0,0.0,2026-01-02,15
2026-01-02 16:00:00,BE,4557.2,608.7,6228.7,1671.5,0.0,0.0,2026-01-02,16
2026-01-02 17:00:00,BE,4507.2,358.1,6108.1,1600.9,0.0,0.0,2026-01-02,17
2026-01-02 18:00:00,BE,4500.5,217.6,5856.6,1356.1,0.02,9.66,2026-01-02,18
2026-01-02 19:00:00,BE,4755.9,333.8,6000.8,1244.9,0.0,0.0,2026-01-02,19
2026-01-02 20:00:00,BE,4603.8,246.1,5927.1,1323.3,0.0,0.0,2026-01-02,20
2026-01-02 21:00:00,BE,4539.5,249.1,5779.1,1239.6,0.0,0.0,2026-01-02,21
2026-01-02 22:00:00,BE,4611.5,238.3,5864.3,1252.8,0.0,0.0,2026-01-02,22
2026-01-02 23:00:00,BE,4131.0,398.7,6053.7,1922.7,0.0,0.0,2026-01-02,23
2026-01-03 00:00:00,BE,4406.6,413.2,6095.2,1688.6,0.02,0.87,2026-01-03,0
2026-01-03 01:00:00,BE,4348.1,422.0,6057.0,1708.9,0.0,0.0,2026-01-03,1
2026-01-03 02:00:00,BE,4043.6,247.7,5851.7,1808.1,0.0,0.0,2026-01-03,2
2026-01-03 03:00:00,BE,3845.1,313.0,6039.0,2193.9,0.0,0.0,2026-01-03,3
2026-01-03 04:00:00,BE,3586.7,408.4,6139.4,2552.7,0.0,0.0,2026-01-03,4
2026-01-03 05:00:00,BE,3735.7,118.8,5828.8,2093.1,0.0,0.0,2026-01-03,5
2026-01-03 06:00:00,BE,3546.2,400.2,6085.2,2539.0,0.0,0.0,2026-01-03,6
2026-01-03 07:00:00,BE,3613.7,648.3,6357.3,2743.6,0.0,0.0,2026-01-03,7
2026-01-03 08:00:00,BE,3631.4,247.1,5906.1,2274.7,0.0,0.0,2026-01-03,8
2026-01-03 09:00:00,BE,3779.8,628.1,6374.1,2594.3,0.0,0.0,2026-01-03,9
2026-01-03 10:00:00,BE,4003.8,699.6,6345.6,2341.8,0.0,0.0,2026-01-03,10
2026-01-03 11:00:00,BE,3903.1,800.0,6456.0,2552.9,0.0,0.0,2026-01-03,11
2026-01-03 12:00:00,BE,3980.9,660.0,6270.0,2289.1,0.0,0.0,2026-01-03,12
2026-01-03 13:00:00,BE,4108.2,639.9,6430.9,2322.7,0.0,0.0,2026-01-03,13
2026-01-03 14:00:00,BE,4232.9,767.9,6445.9,2213.0,0.0,0.0,2026-01-03,14
2026-01-03 15:00:00,BE,4280.9,890.6,6595.6,2314.7,0.0,0.0,2026-01-03,15
2026-01-03 16:00:00,BE,4422.5,397.8,6111.8,1689.3,0.0,0.0,2026-01-03,16
2026-01-03 17:00:00,BE,4737.2,654.2,6322.2,1585.0,0.0,0.0,2026-01-03,17
2026-01-03 18:00:00,BE,4527.8,547.9,6299.9,1772.1,0.0,0.0,2026-01-03,18
2026-01-03 19:00:00,BE,4612.8,200.4,5904.4,1291.6,0.0,0.0,2026-01-03,19
